Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,
Agent 0,8449,8448,8447,8446,8445,8444,8443,8442,8441,8440,8439,8438,8437,8436,8435,8434,8433,8432,8431,8430,8429,8428,8427,8426,8425,8424,8423,8422,8421,8420,8419,8418,8417,8416,8415,8414,8413,8412,8411,8410,8409,8408,8407,8406,8013,7973,7933,7893,7853,7066,6673,6633,6593,6553,6513,5726,5333,5293,5253,5213,5173,4386,4385,3992,3952,3912,3872,3832,3045,3044,3043,3103,3115,3127,3139,3151,3163,3223,3235,3247,3259,3271,3283,3343,3355,3367,3379,3391,3403,3463,3475,3487,3499,3511,3523,3583,3595,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,
Agent 1,12458,12457,12456,12455,12454,12453,12452,12451,12450,12449,12448,12447,12446,12445,12444,12443,12442,12441,12440,12439,12438,12437,12436,12435,12434,12433,12432,12431,12430,12429,12428,12427,12426,12033,11993,11953,11913,11873,11086,10693,10653,10613,10573,10533,9746,9745,9352,9312,9272,9232,9192,8405,8012,7972,7932,7892,7852,7065,6672,6632,6592,6552,6512,5725,5332,5292,5252,5212,5172,4385,3992,3952,3912,3872,3832,3045,2652,2612,2572,2532,2492,1705,1312,1272,1232,1192,1152,365,425,437,449,461,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,
Agent 2,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,1171,1211,1251,1291,1331,2234,2511,2551,2591,2631,2671,3574,3851,3891,3931,3971,4011,4914,5191,5231,5271,5311,5351,6254,6194,6182,6170,6158,6146,6134,6527,6567,6607,6647,6687,7474,7867,7907,7947,7987,8027,8814,8754,8742,8730,8718,8706,8694,9203,9243,9283,9323,9363,10034,9974,9962,9950,9938,9926,9914,10539,10579,10619,10659,10699,11254,11879,11919,11959,11999,12039,12594,12595,12596,12536,12524,12512,12500,12488,12476,12477,12478,12418,12406,12394,12382,12370,12358,12298,12286,12274,12262,12250,12238,12178,12166,12154,12142,12130,
Agent 3,3278,3338,3350,3362,3374,3386,3398,3458,3457,3456,3455,3454,3847,3887,3927,3967,4007,4794,4793,4792,4791,4790,4789,4788,4787,4786,4785,4784,4783,4782,4781,4780,4779,4778,4777,4776,4775,4774,4773,4772,4771,4770,4769,4768,4767,4766,4765,4764,4763,4762,4761,4760,4759,4758,4757,4756,4755,4754,4753,4752,4751,4750,4749,4748,4747,4746,5185,5225,5265,5305,5345,6086,6525,6565,6605,6645,6685,7426,7425,7864,7904,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,7944,
Agent 4,6109,6108,6107,6106,6105,6104,6103,6102,6101,6100,6099,6098,6097,6096,6095,6094,6093,6092,6091,6090,6089,6088,6087,6086,6085,6084,6083,6143,6155,6167,6179,6191,6203,6263,6275,6287,6299,6311,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,6323,
Agent 5,11765,11753,11741,11681,11682,11670,11658,11646,11634,11622,11562,11550,11538,11526,11514,11502,11442,11430,11418,11406,11394,11382,11322,11323,11324,11325,10700,10660,10620,10580,10540,9985,9360,9320,9280,9240,9200,8645,8020,7980,7940,7900,7860,7305,7306,6681,6641,6601,6561,6521,5966,5967,5968,5969,5970,5971,5972,5973,5974,5975,5976,5977,5978,5979,5980,5981,5982,5983,5984,5985,5986,5987,5988,5989,5990,5991,5992,5993,5994,5995,5996,5997,5998,5999,6000,6001,6002,6003,6004,6005,6006,6007,6008,6009,6010,6011,6012,6013,5342,5302,5262,5222,5182,4673,4002,3962,3922,3882,3842,3333,3334,3335,3336,3276,3264,3252,3240,3240,3240,3240,3240,3240,
Agent 6,6242,6243,6244,6245,6246,6247,6248,6249,6250,6251,6252,6253,6254,6194,6182,6170,6158,6146,6134,6074,6062,6050,6038,6026,6014,5954,5942,5930,5918,5906,5894,5834,5822,5810,5798,5786,5774,5714,5702,5690,5678,5666,5654,5331,5291,5251,5211,5171,4314,3991,3951,3911,3871,3831,2974,2975,2976,2916,2904,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,
Agent 7,12503,12515,12527,12539,12599,12611,12623,12635,12647,12659,12719,12731,12743,12755,12767,12779,12839,12851,12863,12875,12887,12899,12959,12958,12957,12956,12955,12954,12953,12050,12010,11970,11930,11890,11613,10710,10670,10630,10590,10550,10273,9370,9330,9290,9250,9210,8933,8030,7990,7950,7910,7870,7593,7592,7591,7590,7589,7588,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,
Agent 8,5329,5289,5249,5209,5169,4266,4265,3988,3948,3908,3868,3828,2925,2648,2608,2568,2528,2488,1585,1308,1268,1228,1188,1148,245,305,317,329,341,353,365,425,437,449,461,473,485,545,557,569,581,593,605,665,677,689,701,713,725,726,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,
Agent 9,5812,5824,5836,5896,5895,5894,5906,5918,5930,5942,5954,6014,5343,5303,5263,5223,5183,4674,4686,4698,4710,4722,4734,4794,4007,3967,3927,3887,3847,3454,3466,3478,3490,3502,3514,3574,3586,3598,3610,3622,3634,3694,3706,3718,3730,3742,3754,3814,3813,2678,2638,2598,2558,2518,2473,2472,2471,2470,2469,2468,2467,2466,2465,2464,2463,2462,2461,2460,2459,2458,2457,2456,2455,2454,2453,2452,2451,2450,2449,2448,2447,2446,2445,2444,2443,2442,2441,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,
