Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,
Agent 0,8449,8448,8447,8446,8445,8444,8443,8442,8441,8440,8439,8438,8437,8436,8435,8434,8433,8432,8431,8430,8429,8428,8427,8426,8425,8424,8423,8422,8421,8420,8419,8418,8417,8416,8415,8414,8413,8412,8411,8410,8409,8408,8407,8406,8013,7973,7933,7893,7853,7066,6673,6633,6593,6553,6513,5726,5725,5785,5797,5809,5821,5833,5845,5336,5296,5256,5216,5176,4505,3996,3956,3916,3876,3836,3165,3164,3224,3236,3248,3260,3272,3284,3344,3356,3368,3380,3392,3404,3403,3463,3475,3487,3499,3511,3523,3583,3595,3607,3595,3583,3523,3524,3525,3848,3888,3928,3968,4008,4865,4853,4841,4829,4817,4805,4745,5184,5224,5264,5304,5344,6085,6524,6564,6604,6644,6684,7425,7413,7401,7389,7377,7365,7305,7860,7900,7940,7980,8020,8645,8633,8621,8609,8597,8585,8525,8513,8501,8489,8477,8465,8405,8406,8407,8408,8409,8410,8411,8412,8413,8414,8415,8416,8417,8418,8419,8420,8421,8422,8423,8424,8425,8426,8427,8428,8429,8430,8431,8432,8433,8434,8435,8436,8437,8438,8439,8440,8441,8442,8443,8444,8445,8446,8447,8448,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,8449,
Agent 1,12458,12457,12456,12455,12454,12453,12452,12451,12450,12449,12448,12447,12446,12445,12444,12443,12442,12441,12440,12439,12438,12437,12436,12435,12434,12433,12432,12431,12430,12429,12428,12427,12426,12033,11993,11953,11913,11873,11086,11085,10692,10652,10612,10572,10532,9745,9352,9312,9272,9232,9192,8405,8012,7972,7932,7892,7852,7065,6672,6632,6592,6552,6512,5725,5332,5292,5252,5212,5172,4385,3992,3952,3912,3872,3832,3045,2652,2612,2572,2532,2492,1705,1312,1272,1232,1192,1152,365,425,437,449,461,473,461,449,437,425,365,1152,1192,1232,1272,1312,1705,1706,2493,2533,2573,2613,2653,3046,3833,3873,3913,3953,3993,4386,5173,5213,5253,5293,5333,5726,6513,6553,6593,6633,6673,7066,7853,7893,7933,7973,8013,8406,9193,9233,9273,9313,9353,9746,10533,10573,10613,10653,10693,11086,11873,11913,11953,11993,12033,12426,12427,12428,12429,12430,12431,12432,12433,12434,12435,12436,12437,12438,12439,12440,12441,12442,12443,12444,12445,12446,12447,12448,12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,12458,
Agent 2,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,1170,1210,1250,1290,1330,2233,2510,2550,2590,2630,2670,3573,3574,3851,3891,3931,3971,4011,4914,4854,4842,4830,4818,4806,4794,5187,5227,5267,5307,5347,6134,6527,6567,6607,6647,6687,7474,7414,7402,7390,7378,7366,7354,7863,7903,7943,7983,8023,8694,9203,9243,9283,9323,9363,10034,10543,10583,10623,10663,10703,11374,11314,11302,11290,11278,11266,11254,11194,11182,11170,11158,11146,11134,11074,11062,11050,11038,11026,11014,10954,10942,10930,10918,10906,10894,11867,11907,11947,11987,12027,12234,12235,12236,12237,12238,12178,12166,12154,12142,12130,12142,12154,12166,12178,12238,12237,12236,12235,12247,12259,12271,12283,12295,12355,12367,12379,12391,12403,12415,12475,12474,12486,12498,12510,12522,12534,12594,12039,11999,11959,11919,11879,11254,10699,10659,10619,10579,10539,9914,9359,9319,9279,9239,9199,8574,8019,7979,7939,7899,7859,7234,6679,6639,6599,6559,6519,5894,5906,5918,5930,5942,5954,6014,5343,5303,5263,5223,5183,4674,4003,3963,3923,3883,3843,3334,3346,3358,3370,3382,3394,3454,3466,3478,3490,3502,3514,3574,3573,2670,2630,2590,2550,2510,2233,1330,1290,1250,1210,1170,893,892,891,890,889,888,887,886,885,884,883,882,881,880,879,878,877,876,875,874,873,872,
Agent 3,3278,3338,3350,3362,3374,3386,3398,3458,3457,3456,3455,3454,3847,3887,3927,3967,4007,4794,4793,4792,4791,4790,4789,4788,4787,4786,4785,4784,4783,4782,4781,4780,4779,4778,4777,4776,4775,4774,4773,4772,4771,4770,4769,4768,4767,4766,4765,4764,4763,4762,4761,4760,4759,4758,4757,4756,4755,4754,4753,4752,4751,4750,4749,4748,4747,4746,4745,5184,5224,5264,5304,5344,6085,6524,6564,6604,6644,6684,7425,7864,7904,7944,7904,7864,7425,7426,7427,7428,7429,7430,7431,7432,7433,7434,7435,7436,7437,7438,7439,7440,7441,7442,7443,7444,7445,7446,7447,7448,7449,7450,7451,7452,7453,7454,7455,7456,7457,7458,7459,7460,7461,7462,7463,7464,7465,7466,7467,7468,7469,7470,7471,7472,7473,6686,6646,6606,6566,6526,6133,6134,5347,5307,5267,5227,5187,4794,4007,3967,3927,3887,3847,3454,3394,3382,3370,3358,3346,3334,3335,3336,3337,3338,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,
Agent 4,6109,6108,6107,6106,6105,6104,6103,6102,6101,6100,6099,6098,6097,6096,6095,6094,6093,6092,6091,6090,6089,6088,6087,6086,6085,6145,6157,6169,6181,6193,6205,6204,6203,6263,6275,6287,6299,6311,6323,6311,6299,6287,6275,6263,6203,6204,6192,6180,6168,6156,6144,6084,6085,6086,6087,6088,6089,6090,6091,6092,6093,6094,6095,6096,6097,6098,6099,6100,6101,6102,6103,6104,6105,6106,6107,6108,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,6109,
Agent 5,11765,11753,11741,11681,11682,11683,11671,11659,11647,11635,11623,11563,11551,11539,11527,11515,11503,11443,11431,11419,11407,11395,11383,11323,11324,11325,11326,10701,10661,10621,10581,10541,9986,9361,9321,9281,9241,9201,8646,8647,8648,8649,8650,8651,8652,8653,8654,8655,8656,8657,8658,8659,8660,8661,8662,8663,8664,8665,8666,8667,8668,8669,8670,8671,8672,8673,8674,8675,8676,8677,8678,8679,8680,8681,8682,8683,8684,8685,8686,8687,8688,8689,8690,8691,8692,8693,8694,8023,7983,7943,7903,7863,7354,6683,6643,6603,6563,6523,6014,5343,5303,5263,5223,5183,4674,4003,3963,3923,3883,3843,3334,3335,3336,3276,3264,3252,3240,3252,3264,3276,3336,3335,3334,3843,3883,3923,3963,4003,4674,5183,5223,5263,5303,5343,6014,6523,6563,6603,6643,6683,7354,7353,7352,7351,7350,7349,7348,7347,7346,7345,7344,7343,7342,7341,7340,7339,7338,7337,7336,7335,7334,7333,7332,7331,7330,7329,7328,7327,7326,7325,7324,7323,7322,7321,7320,7319,7318,7317,7316,7315,7314,7313,7312,7311,7310,7309,7308,7307,7306,7861,7901,7941,7981,8021,8646,8645,8705,8717,8729,8741,8753,8765,8825,8837,8849,8861,8873,8885,8945,8957,8969,8981,8993,9005,9212,9252,9292,9332,9372,10345,10552,10592,10632,10672,10712,11685,11684,11683,11682,11681,11741,11753,11765,11765,11765,11765,11765,11765,11765,11765,11765,11765,11765,
Agent 6,6242,6243,6244,6245,6246,6247,6248,6249,6250,6251,6252,6253,6254,6194,6182,6170,6158,6146,6134,6074,6062,6050,6038,6026,6014,5343,5303,5263,5223,5183,4674,4614,4602,4590,4578,4566,4554,3999,3959,3919,3879,3839,3214,3154,3142,3130,3118,3106,3094,3095,3035,3023,3011,2999,2987,2975,2976,2916,2904,2892,2904,2916,2976,2975,2987,2999,3011,3023,3035,3095,3107,3119,3131,3143,3155,3215,3214,3839,3879,3919,3959,3999,4554,4566,4578,4590,4602,4614,4674,4686,4698,4710,4722,4734,4794,5187,5227,5267,5307,5347,6134,6146,6158,6170,6182,6194,6254,6253,6252,6251,6250,6249,6248,6247,6246,6245,6244,6243,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,
Agent 7,12503,12515,12527,12539,12599,12598,12597,12596,12608,12620,12632,12644,12656,12716,12715,12727,12739,12751,12763,12775,12835,12834,12047,12007,11967,11927,11887,11494,10707,10667,10627,10587,10547,10154,9367,9327,9287,9247,9207,8814,8027,7987,7947,7907,7867,7474,7486,7498,7510,7522,7534,7594,7593,7592,7591,7590,7589,7588,7587,7588,7589,7590,7591,7592,7593,7870,7910,7950,7990,8030,8933,8934,9211,9251,9291,9331,9371,10274,10551,10591,10631,10671,10711,11614,11554,11542,11530,11518,11506,11494,11434,11422,11410,11398,11386,11374,11883,11923,11963,12003,12043,12714,12715,12716,12717,12657,12645,12633,12621,12609,12597,12598,12599,12539,12527,12515,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,12503,
Agent 8,5329,5289,5249,5209,5169,4266,4265,4325,4337,4349,4361,4373,4385,4445,4457,4469,4481,4493,4505,3996,3956,3916,3876,3836,3165,3225,3237,3249,3261,3273,3285,2660,2620,2580,2540,2500,1945,2005,2017,2029,2041,2053,2065,1324,1284,1244,1204,1164,725,726,727,726,1165,1205,1245,1285,1325,2066,2065,2053,2041,2029,2017,2005,1945,2500,2540,2580,2620,2660,3285,3840,3880,3920,3960,4000,4625,4613,4601,4589,4577,4565,4505,4493,4481,4469,4457,4445,4385,4373,4361,4349,4337,4325,4265,4266,5169,5209,5249,5289,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,5329,
Agent 9,5812,5824,5836,5896,5908,5920,5932,5944,5956,6016,6015,6014,6026,6038,6050,6062,6074,6134,5347,5307,5267,5227,5187,4794,4007,3967,3927,3887,3847,3454,3466,3478,3490,3502,3514,3574,3586,3598,3610,3622,3634,3694,2675,2635,2595,2555,2515,2354,2366,2378,2390,2402,2414,2474,2473,2472,2471,2470,2469,2468,2467,2466,2465,2464,2463,2462,2461,2460,2459,2458,2457,2456,2455,2454,2453,2452,2451,2450,2449,2448,2447,2446,2445,2444,2443,2442,2441,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2458,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2518,2558,2598,2638,2678,3813,3858,3898,3938,3978,4018,5153,5154,5094,5082,5070,5058,5046,5034,5195,5235,5275,5315,5355,6374,6314,6302,6290,6278,6266,6254,6255,6195,6183,6171,6159,6147,6135,6136,6076,6064,6052,6040,6028,6016,5956,5944,5932,5920,5908,5896,5836,5824,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,5812,
